genre,album_name,album_id,release_date,total_tracks,popularity,artists_album,artist_followers,artist_popularity,artist_genres
rock,No Fixed Address,4rSK3TjA9dzKOVv0M8gGxA,2014-11-17,11,65,Nickelback,7765163,82,"post-grunge, rock"
rock,Here and Now,2gMWwDIxxGIiblnv1pQHyd,2011-11-14,11,64,Nickelback,7765163,82,"post-grunge, rock"
rock,Turn Blue,6TvxpBzf9c8H1fsrAaQ8t3,2014-05-09,11,60,The Black Keys,4135145,74,"blues rock, garage rock, modern blues, rock"
rock,El Camino,5DLhV9yOvZ7IxVmljMXtNm,2011-12-06,11,63,The Black Keys,4135145,74,"blues rock, garage rock, modern blues, rock"
rock,Comedown Machine,4WnkQO4xD9ljQooB3VIxCV,2013-03-25,11,64,The Strokes,6395454,78,"garage rock, indie rock, alternative rock"
rock,Angles,6Jx4cGhWHewTcfKDJKguBQ,2011-03-21,10,61,The Strokes,6395454,78,"garage rock, indie rock, alternative rock"
rock,Everything Will Be Alright In The End,5bwoCpDhski3iIxwsdgPTM,2014-10-07,13,43,Weezer,4517654,76,alternative rock
rock,Hurley (Deluxe Edition),1FXneUyo0D1lnMZ0Nv3sw8,2010-09-14,14,35,Weezer,4517654,76,alternative rock
rock,Death to False Metal (International Version),4mTGfGAV4rIdkmjOvsZAk0,2010-01-01,11,25,Weezer,4517654,76,alternative rock
rock,Lo Mejor De Miguel Rios,2EVCyniPdPfMFJGqQ5uZbx,2013-01-01,14,11,Miguel Ríos,321479,56,"rock en español, trova"
rock,Bye Bye Rios: Rock Hasta el Final (En Directo),15hOm0GUQEehqeks515zka,2011-04-12,20,35,Miguel Ríos,321479,56,"rock en español, trova"
rock,Bye Bye Rios: Rock Hasta el Final (Bonus Track) [En Directo],0ECNdG13JmSRcdgKZH0T0u,2011-04-12,21,27,Miguel Ríos,321479,56,"rock en español, trova"
rock,Lightning Bolt,01WEcEzoa9mfh8fIDhvV1M,2013-01-01,12,57,Pearl Jam,9824823,78,"grunge, rock, post-grunge"
rock,Second Helping - Live From Jacksonville At The Florida Theatre,4HNf2DXSkCBuBVJE5nxZ0s,2015-10-23,8,22,Lynyrd Skynyrd,5813577,77,"southern rock, classic rock, rock"
rock,Pronounced ‘Leh-‘nérd ‘Skin-‘nérd,2GtOiYDDdU4jK2Q6uQnSr4,2015-10-23,8,27,Lynyrd Skynyrd,5813577,77,"southern rock, classic rock, rock"
rock,One More For The Fans (Live),2ozyyppkepXcWyxvdNbDmi,2015-07-24,19,29,Lynyrd Skynyrd,5813577,77,"southern rock, classic rock, rock"
rock,Sweet Home Alabama - Live At Rockpalast 1996,3GPv2WNdmoyUx3WZwVjBsh,2015-06-02,17,23,Lynyrd Skynyrd,5813577,77,"southern rock, classic rock, rock"
rock,Last of a Dyin' Breed (Special Edition),4rRCrcBlh0Io9edrPT0oxd,2012-08-17,15,40,Lynyrd Skynyrd,5813577,77,"southern rock, classic rock, rock"
rock,Last of a Dyin' Breed,7K0F8oeNuBaN9NBSlBX9VO,2012-08-17,11,22,Lynyrd Skynyrd,5813577,77,"southern rock, classic rock, rock"
rock,Que Esperas (Versión Exclusiva),2vd3SPSRppBEPjRWoFTDRp,2015-03-17,14,50,Coti,317691,64,"argentine rock, latin pop"
rock,Lo Mejor De Coti,3LPEL3f2CQoEfr7xnxkDvR,2013-01-01,12,9,Coti,317691,64,"argentine rock, latin pop"
rock,Lo Dije Por Boca De Otro Edición 2013,0EA6l9BDFx6EpRO00aIhfq,2013-01-01,14,31,Coti,317691,64,"argentine rock, latin pop"
rock,Lo Dije Por Boca De Otro,0hjoesfOC12QmzkVARsTZe,2012-01-01,13,10,Coti,317691,64,"argentine rock, latin pop"
rock,Monuments to an Elegy,5PubMxaRzGCCgqrp3j1AfY,2014-12-05,9,33,The Smashing Pumpkins,5992563,76,"alternative rock, rock"
rock,Oceania,3QqIpBZ7rQ9cBUwy6p0rIn,2012-01-01,13,28,The Smashing Pumpkins,5992563,76,"alternative rock, rock"
rock,Monster,4bEGlyQHzCfjrqryGwmXD5,2012-01-01,12,31,KISS,10834493,75,"glam metal, glam rock, hard rock, rock, classic rock"
rock,Vital Signs,0NmzhdoPm5f1LiKBAqbrY2,2013-06-25,10,37,Skillet,5779584,77,"christian rock, christian alternative rock, christian"
rock,Rise (Deluxe Edition),3AUIurHdBrfvqSs7EEr3AA,2013-06-21,15,62,Skillet,5779584,77,"christian rock, christian alternative rock, christian"
rock,Rise,5KvnwzBqPi6lNgnjqG6b9C,2013-06-21,12,44,Skillet,5779584,77,"christian rock, christian alternative rock, christian"
rock,iTunes Session (Live),0E6XWT61Oo5on7HWhFkh7F,2010-11-12,8,29,Skillet,5779584,77,"christian rock, christian alternative rock, christian"
rock,Meliora,7wcMxzlZFIxccoeiSix0O2,2015-01-01,10,54,Ghost,3716652,77,"metal, hard rock"
rock,Infestissumam (Commentary Version),6M2qTbTeWKn8xXxjd9XMAs,2013-01-01,10,23,Ghost,3716652,77,"metal, hard rock"
rock,Infestissumam,32CbQps06lUasiux6N8tP3,2013-01-01,10,56,Ghost,3716652,77,"metal, hard rock"
rock,Opus Eponymous,5aEgt9uHrVL3QGzKaUSy2J,2010-10-18,9,51,Ghost,3716652,77,"metal, hard rock"
rock,MTV Unplugged (The Studio Edits),0qnfKJaZ29PXoBeMIuUkrb,2014-04-14,10,47,Scorpions,8484351,76,"hard rock, glam metal, rock"
rock,MTV Unplugged,7HUFiEGHoty4bhJetqJa3h,2013-12-02,24,46,Scorpions,8484351,76,"hard rock, glam metal, rock"
rock,Comeblack,4vQ96yyyYbaeTQujH3iTtd,2011-11-07,13,66,Scorpions,8484351,76,"hard rock, glam metal, rock"
rock,Sting in the Tail,3n2WzsBMJtfoV1kYIQZOLj,2010-03-22,12,47,Scorpions,8484351,76,"hard rock, glam metal, rock"
rock,Real Real Blondie,1foXyN4r1Q52Ld8Va7xPl5,2015-10-12,13,19,Blondie,1842663,72,
